legacy_draft_id,draft_key,title,event_date,format,draft_type,winning_team,default_stake_cents,notes
1,legacy-1,Legacy Draft 1,2024-01-01,Teams After Draft,Vintage,A,4000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
2,legacy-2,Legacy Draft 2,2024-01-01,Teams After Draft,Vintage,A,2000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
3,legacy-3,Legacy Draft 3,2024-01-01,Teams After Draft,Vintage,A,2000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
4,legacy-4,Legacy Draft 4,2024-01-01,Teams After Draft,Vintage,A,3300,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
5,legacy-5,Legacy Draft 5,2024-01-01,Teams After Draft,Andrew Cube,A,2000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
6,legacy-6,Legacy Draft 6,2024-01-01,Teams After Draft,Vintage,A,2000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
7,legacy-7,Legacy Draft 7,2024-01-01,Teams After Draft,Vintage,A,2000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
8,legacy-8,Legacy Draft 8,2024-01-01,Teams After Draft,Vintage,A,4000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
9,legacy-9,Legacy Draft 9,2024-01-01,Teams After Draft,Vintage,A,4000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
10,legacy-10,Legacy Draft 10,2024-01-01,Teams After Draft,Vintage,A,4000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
11,legacy-11,Legacy Draft 11,2024-01-01,Teams After Draft,Vintage,A,4000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
12,legacy-12,Legacy Draft 12,2024-01-01,Teams After Draft,Vintage,A,10000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
13,legacy-13,Legacy Draft 13,2024-01-01,Teams After Draft,Vintage,A,4000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
14,legacy-14,Legacy Draft 14,2024-01-01,Teams After Draft,Vintage,A,4000,Imported from Draft-Records-Matches.csv and Draft-Records-R.csv.
