match_key,player_a_wins,player_b_wins,draws
legacy-1-match-1,0,2,0
legacy-1-match-2,2,0,0
legacy-1-match-3,2,0,0
legacy-1-match-4,0,2,0
legacy-1-match-5,0,2,0
legacy-1-match-6,2,0,0
legacy-1-match-7,0,2,0
legacy-1-match-8,2,0,0
legacy-1-match-9,2,0,0
legacy-2-match-1,2,1,0
legacy-2-match-2,1,2,0
legacy-2-match-3,1,2,0
legacy-2-match-4,1,2,0
legacy-2-match-5,2,1,0
legacy-2-match-6,2,1,0
legacy-2-match-7,1,2,0
legacy-2-match-8,2,1,0
legacy-2-match-9,2,1,0
legacy-2-match-10,2,1,0
legacy-2-match-11,1,2,0
legacy-2-match-12,1,2,0
legacy-3-match-1,2,0,0
legacy-3-match-2,2,0,0
legacy-3-match-3,2,0,0
legacy-3-match-4,2,0,0
legacy-3-match-5,2,0,0
legacy-3-match-6,2,0,0
legacy-4-match-1,2,1,0
legacy-4-match-2,2,1,0
legacy-4-match-3,1,2,0
legacy-4-match-4,1,2,0
legacy-4-match-5,1,2,0
legacy-4-match-6,1,2,0
legacy-4-match-7,1,2,0
legacy-4-match-8,1,2,0
legacy-4-match-9,1,2,0
legacy-4-match-10,1,2,0
legacy-4-match-11,1,2,0
legacy-4-match-12,1,2,0
legacy-4-match-13,1,2,0
legacy-5-match-1,0,2,0
legacy-5-match-2,2,0,0
legacy-5-match-3,2,0,0
legacy-5-match-4,0,2,0
legacy-5-match-5,0,2,0
legacy-5-match-6,2,0,0
legacy-5-match-7,2,0,0
legacy-5-match-8,2,0,0
legacy-6-match-1,1,2,0
legacy-6-match-2,2,1,0
legacy-6-match-3,1,2,0
legacy-6-match-4,1,2,0
legacy-6-match-5,1,2,0
legacy-6-match-6,1,2,0
legacy-6-match-7,2,1,0
legacy-7-match-1,0,2,0
legacy-7-match-2,2,0,0
legacy-7-match-3,0,2,0
legacy-7-match-4,0,2,0
legacy-7-match-5,0,2,0
legacy-7-match-6,0,2,0
legacy-7-match-7,0,2,0
legacy-8-match-1,2,1,0
legacy-8-match-2,2,1,0
legacy-8-match-3,2,1,0
legacy-8-match-5,2,1,0
legacy-8-match-6,1,2,0
legacy-8-match-7,1,2,0
legacy-9-match-1,0,2,0
legacy-9-match-2,2,0,0
legacy-9-match-3,2,0,0
legacy-9-match-4,0,2,0
legacy-9-match-5,0,2,0
legacy-9-match-6,2,0,0
legacy-9-match-7,0,2,0
legacy-9-match-8,2,0,0
legacy-9-match-9,0,2,0
legacy-9-match-10,0,2,0
legacy-9-match-11,0,2,0
legacy-9-match-12,2,0,0
legacy-10-match-1,1,2,0
legacy-10-match-2,2,1,0
legacy-10-match-3,2,1,0
legacy-10-match-4,1,2,0
legacy-10-match-5,2,1,0
legacy-10-match-6,1,2,0
legacy-10-match-7,1,2,0
legacy-10-match-8,1,2,0
legacy-10-match-9,1,2,0
legacy-11-match-1,0,2,0
legacy-11-match-2,0,2,0
legacy-11-match-3,2,0,0
legacy-11-match-4,2,0,0
legacy-11-match-5,0,2,0
legacy-11-match-6,2,0,0
legacy-11-match-7,0,2,0
legacy-11-match-8,2,0,0
legacy-11-match-9,0,2,0
legacy-11-match-10,2,0,0
legacy-11-match-11,0,2,0
legacy-11-match-12,2,0,0
legacy-11-match-13,2,0,0
legacy-11-match-14,2,0,0
legacy-11-match-15,0,2,0
legacy-12-match-1,2,1,0
legacy-12-match-2,1,2,0
legacy-12-match-3,1,2,0
legacy-12-match-4,1,2,0
legacy-12-match-5,2,1,0
legacy-12-match-6,1,2,0
legacy-12-match-7,1,2,0
legacy-13-match-1,0,2,0
legacy-13-match-2,2,0,0
legacy-13-match-3,0,2,0
legacy-13-match-4,2,0,0
legacy-13-match-5,2,0,0
legacy-13-match-6,0,2,0
legacy-13-match-7,0,2,0
legacy-13-match-8,0,2,0
legacy-14-match-1,2,1,0
legacy-14-match-2,2,1,0
legacy-14-match-3,1,2,0
legacy-14-match-4,1,2,0
legacy-14-match-5,2,1,0
legacy-14-match-6,2,1,0
legacy-14-match-7,2,1,0
legacy-15-match-1,0,2,0
legacy-15-match-2,2,0,0
legacy-15-match-3,2,0,0
legacy-15-match-4,0,2,0
legacy-15-match-5,0,2,0
legacy-15-match-6,0,2,0
legacy-15-match-7,2,0,0
legacy-15-match-8,2,0,0
legacy-15-match-9,2,0,0
legacy-16-match-1,2,1,0
legacy-16-match-2,2,1,0
legacy-16-match-3,1,2,0
legacy-16-match-4,2,1,0
legacy-16-match-5,1,2,0
legacy-16-match-6,1,2,0
legacy-16-match-7,1,2,0
legacy-16-match-8,1,2,0
legacy-16-match-9,1,2,0
legacy-17-match-1,2,0,0
legacy-17-match-2,2,0,0
legacy-17-match-3,2,0,0
legacy-17-match-4,0,2,0
legacy-17-match-5,0,2,0
legacy-17-match-6,0,2,0
legacy-17-match-7,2,0,0
legacy-17-match-8,2,0,0
legacy-17-match-9,0,2,0
legacy-17-match-10,0,2,0
legacy-17-match-11,2,0,0
legacy-17-match-12,2,0,0
legacy-18-match-1,1,2,0
legacy-18-match-2,2,1,0
legacy-18-match-3,1,2,0
legacy-18-match-4,2,1,0
legacy-18-match-5,1,2,0
legacy-18-match-6,1,2,0
legacy-18-match-7,2,1,0
legacy-18-match-8,2,1,0
legacy-18-match-9,1,2,0
legacy-18-match-10,1,2,0
legacy-19-match-1,0,2,0
legacy-19-match-2,2,0,0
legacy-19-match-3,2,0,0
legacy-19-match-4,0,2,0
legacy-19-match-5,0,2,0
legacy-19-match-6,0,2,0
legacy-19-match-7,0,2,0
legacy-20-match-1,2,1,0
legacy-20-match-2,2,1,0
legacy-20-match-3,2,1,0
legacy-20-match-4,2,1,0
legacy-20-match-5,2,1,0
legacy-20-match-6,1,2,0
legacy-20-match-7,1,2,0
legacy-21-match-1,2,0,0
legacy-21-match-2,2,0,0
